job_id,title,employer,sector,source,salary_min,salary_max,location,zip,remote,posted_date,url
5395326170,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,55074.86,55074.86,"Adamant, Washington County",05843,False,2025-09-11T20:06:37Z,https://www.adzuna.com/land/ad/5395326170?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=9209D94D70B3365EB13ECAA38FE11F0D1D255080
5404276056,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,54039.86,54039.86,"Fletcher, Chittenden County",05843,False,2025-09-17T20:26:27Z,https://www.adzuna.com/land/ad/5404276056?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=AAE4D99077451FA87C1927897176E8BFCAA6D614
5552758855,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,59471.57,59471.57,"Camp Johnson, Chittenden County",05843,False,2025-12-23T01:03:33Z,https://www.adzuna.com/land/ad/5552758855?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=C7730206AF9A03934BCD721B8C004390FAAE56DF
5552758828,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,50085.72,50085.72,"Fairfax, Chittenden County",05843,False,2025-12-23T01:03:30Z,https://www.adzuna.com/land/ad/5552758828?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=D7EED4843B428F226BF17B71F3E2799164FE9D20
5404275997,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,52466.86,52466.86,"Jeffersonville, Lamoille County",05843,False,2025-09-17T20:26:25Z,https://www.adzuna.com/land/ad/5404275997?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=20916349630020E13A07C42A7FA9EC86FC7DA1C0
5552758758,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,44261.07,44261.07,"Brookside, Chittenden County",05843,False,2025-12-23T01:03:23Z,https://www.adzuna.com/land/ad/5552758758?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=69D69720406DB58C6F7038C3D1DE10C6CE3CA514
5562444005,Family Medicine Opportunity in Vermont,AMN Healthcare,private,adzuna,88779.27,88779.27,"Indian Point, Orleans County",05843,False,2026-01-01T05:20:46Z,https://www.adzuna.com/land/ad/5562444005?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=FB27415D48F65310D9035B42BF01C8662E106D3E
5552758769,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,58197.83,58197.83,"East Montpelier, Washington County",05843,False,2025-12-23T01:03:27Z,https://www.adzuna.com/land/ad/5552758769?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=C81D4961E581E5BC55D05D967EEA3D26E447AD6C
5404276064,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,61673.8,61673.8,"Keeler Bay, Grand Isle County",05843,False,2025-09-17T20:26:28Z,https://www.adzuna.com/land/ad/5404276064?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=E5D7CBDE8671EB69EDF105FA038DC640350A50E1
5428715218,"Houseparents, Full-Time - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,64385.9,64385.9,"Pinewood, Chittenden County",05843,False,2025-10-03T01:20:15Z,https://www.adzuna.com/land/ad/5428715218?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=F5BE7941DDC09D758310CF2A2D9C438333A420C8
5525203014,Retail Merchandiser,SAS Retail Services,private,adzuna,36412.68,36412.68,"Lincoln, Grafton County",05843,False,2025-12-02T22:15:36Z,https://www.adzuna.com/land/ad/5525203014?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=3E056C74987238B9BAF75AA03AF1B03693EDE64E
5404276038,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,73080.72,73080.72,"Underhill Flats, Chittenden County",05843,False,2025-09-17T20:26:27Z,https://www.adzuna.com/land/ad/5404276038?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=E53EB5BD4214C9E14B36914E8A44FBD89CEC1FFC
5428709804,"Youth Development Specialist - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,70576.98,70576.98,"Queen Park, Chittenden County",05843,False,2025-10-03T01:18:37Z,https://www.adzuna.com/land/ad/5428709804?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=64FFE8BDD6FFC9616EAB9AC0944C2457E40F7AC2
5404276030,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,53196.97,53196.97,"Grand Isle, Grand Isle County",05843,False,2025-09-17T20:26:26Z,https://www.adzuna.com/land/ad/5404276030?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=A6F4B793698084E98B2FEAC0E418EAED204E32B4
5404275972,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,56310.47,56310.47,"Highgate Springs, Franklin County",05843,False,2025-09-17T20:26:24Z,https://www.adzuna.com/land/ad/5404275972?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=C606D8301DF7700CD1B653946A14C8D6C95079C8
5562444246,Oral Surgeon,AMN Healthcare,private,adzuna,58905.25,58905.25,"Camp Johnson, Chittenden County",05843,False,2026-01-01T05:20:47Z,https://www.adzuna.com/land/ad/5562444246?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=99904675858D891E41F5451C05D566B5DDFD583B
